"protocol","scheme","location","raw_key","aliases","canonical_semantic","value_type","allowed_values","default","repeated","decode_rule","source_class","mihomo_mapping","xray_mapping","sing_box_mapping","other_mapping","current_behavior","status","test_ids","evidence","notes"
"VMess","vmess","json","port","","server_port","decimal string|integer","1..65535","none","duplicate JSON keys reject","outer canonical base64 UTF-8 then strict JSON parse; field types validated before normalization","legacy_ecosystem_format","port","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","strict type and range","complete","proxyUri.test.ts:parses-vmess-and-legacy-JSON-strict-mapping","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
"VMess","vmess","json","id","","user_identity","canonical UUID or bounded custom user ID","canonical 8-4-4-4-12 UUID in either hex case; or 1..30 UTF-8 bytes without control characters","none","forbidden duplicate JSON key","outer canonical base64 UTF-8 then strict JSON; field types validated before normalization","legacy_ecosystem_plus_fixed_target_custom_id_extension","uuid","VMess outbound UUID/custom UUID mapping","VMess outbound UUID","v2ray-core@59950bd0 legacy alterId behavior","canonical UUIDs normalize lowercase before the custom length check; bounded custom IDs deterministically map through UUIDv5 with the nil namespace","complete","proxyUri.test.ts:vmess-custom-user-ID|mihomoProxyValidator.test.ts:bounded-custom-user-IDs","local:parseVMess;local:normalizeMihomoUserId;local:validateMihomoProxyList;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db","31-byte and control-bearing custom IDs reject"
"VMess","vmess","json","aid","","alter_id","decimal string|integer","safe integer >=0","0","duplicate JSON keys reject","outer canonical base64 UTF-8 then strict JSON parse; field types validated before normalization","legacy_ecosystem_format","alterId","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","strict; preserves nonzero legacy mode","complete","proxyUri.test.ts:parses-vmess-and-legacy-JSON-strict-mapping","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
"VMess","vmess","json","scy","","body_cipher","string","auto|none|zero|aes-128-gcm|chacha20-poly1305","auto","forbidden duplicate JSON key","outer canonical base64 UTF-8 then strict JSON; field types validated before normalization","legacy_ecosystem_format","cipher","VMess outbound cipher","VMess outbound cipher","v2ray-core@59950bd0 legacy alterId behavior","mapped then checked against the fixed local Mihomo VMess cipher set before delivery","complete","proxyUri.test.ts:parses-vmess-and-legacy-JSON-strict-mapping|mihomoProxyValidator.test.ts:fixed-ciphers","local:parseVMess;local:validateMihomoProxyList;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
"VMess","vmess","json","tls","","tls_enable","string|boolean|integer","tls|true|1|none|false|0","false","duplicate JSON keys reject","outer canonical base64 UTF-8 then strict JSON parse; field types validated before normalization","legacy_ecosystem_format","tls","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","strict compatibility values","complete","proxyUri.test.ts:parses-vmess-and-legacy-JSON-strict-mapping","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
"VMess","vmess","json","sni","","tls_server_name","string","any","server","duplicate JSON keys reject","outer canonical base64 UTF-8 then strict JSON parse; field types validated before normalization","legacy_ecosystem_format","servername","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","maps only when TLS enabled","complete","proxyUri.test.ts:parses-vmess-and-legacy-JSON-strict-mapping","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
"VMess","vmess","json","alpn","","tls_alpn","comma-list string","any","target default","duplicate JSON keys reject","outer canonical base64 UTF-8 then strict JSON parse; field types validated before normalization","legacy_ecosystem_format","alpn[]","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","maps only when TLS enabled","complete","proxyUri.test.ts:parses-vmess-and-legacy-JSON-strict-mapping","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
"VMess","vmess","json","net","","transport","enum","tcp|ws|httpupgrade|http|h2|grpc|kcp|mkcp|raw","tcp","forbidden duplicate JSON key","outer canonical base64 UTF-8 then strict JSON; field types validated before normalization","legacy_ecosystem_format","network + options; httpupgrade becomes ws plus ws-opts.v2ray-http-upgrade","VMess transport","VMess transport","v2ray-core@59950bd0 legacy alterId behavior","closed table; quic and unknown reject; httpupgrade maps to ws plus the explicit upgrade and fast-open flags; raw (Xray >=24.9 rename of the plain TCP transport) maps to tcp","complete","proxyUri.test.ts:vmess-legacy-JSON-strict-mapping|vmess-httpupgrade-and-ws-early-data|vmess-net-raw","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db","decision changed 2026-07-18: net=raw accepted as tcp"
"VMess","vmess","json","type","","transport_header_type","enum","none|http|srtp|utp|wechat-video|dtls|wireguard","none","duplicate JSON keys reject","outer canonical base64 UTF-8 then strict JSON parse; field types validated before normalization","legacy_ecosystem_format","http-opts or mkcp-opts.header","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","transport-specific validation","complete","proxyUri.test.ts:parses-vmess-and-legacy-JSON-strict-mapping","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
"VMess","vmess","json","host","","transport_host","string","transport-specific string","absent","duplicate JSON keys reject","outer canonical base64 UTF-8 then strict JSON parse; field types validated before normalization","legacy_ecosystem_format","transport option host/header","VMess outbound","VMess outbound","v2ray-core@59950bd0 legacy alterId behavior","maps for TCP HTTP, WS, HTTPUpgrade-as-WS, and H2; orphan TCP values remain a compatibility gap","partial","proxyUri.test.ts:vmess-legacy-JSON-strict-mapping|vmess-httpupgrade-and-ws-early-data","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
"VMess","vmess","json","path","","transport_path_or_seed","string","transport-specific string","transport default","duplicate JSON keys reject","outer canonical base64 UTF-8 then strict JSON parse; field types validated before normalization","legacy_ecosystem_format","transport path/service/seed","VMess outbound","VMess outbound","v2ray-core@59950bd0 legacy alterId behavior","maps by transport including HTTPUpgrade-as-WS; gRPC uses path as its service name; orphan TCP values remain a compatibility gap","partial","proxyUri.test.ts:vmess-legacy-JSON-strict-mapping|vmess-httpupgrade-and-ws-early-data","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
"VMess","vmess","json","fp","","tls_client_fingerprint","string","any","target default","duplicate JSON keys reject","outer canonical base64 UTF-8 then strict JSON parse; field types validated before normalization","legacy_ecosystem_format","client-fingerprint","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","requires TLS","complete","proxyUri.test.ts:parses-vmess-and-legacy-JSON-strict-mapping","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
"VMess","vmess","json","insecure","","certificate_verification_policy","string","0|1","0","duplicate JSON keys reject","outer canonical base64 UTF-8 then strict JSON parse; field types validated before normalization","legacy_ecosystem_format","skip-cert-verify","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","strict; requires TLS","complete","proxyUri.test.ts:parses-vmess-and-legacy-JSON-strict-mapping","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
"VMess","vmess","json","pcs","","certificate_pin","string","empty only","empty","duplicate JSON keys reject","outer canonical base64 UTF-8 then strict JSON parse; field types validated before normalization","legacy_ecosystem_format","none","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","non-empty explicitly rejects because exact target mapping unproven","explicit_reject","proxyUri.test.ts:parses-vmess-and-legacy-JSON-strict-mapping","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
"VMess","vmess","json","vcn","","certificate_verification_names","string","empty only","empty","duplicate JSON keys reject","outer canonical base64 UTF-8 then strict JSON parse; field types validated before normalization","legacy_ecosystem_format","none","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","non-empty explicitly rejects as target gap","explicit_reject","proxyUri.test.ts:parses-vmess-and-legacy-JSON-strict-mapping","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
"VMess","vmess","nested.path-query","ed","","websocket_early_data","integer-string","non-negative integer","absent","duplicate JSON keys reject","path split on first ?; manual query percent-decode once","ecosystem_extension","ws-opts.max-early-data","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","read only from path query; invalid/non-numeric remains in path","partial","proxyUri.test.ts:parses-vmess-and-legacy-JSON-strict-mapping","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
"VLESS","vless","query","flow","","vless_flow","case-insensitive enum","xtls-rprx-vision","empty","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space","official_share_proposal_or_target_extension","flow: xtls-rprx-vision","Xray Vision flow","sing-box Vision flow","v2ray-core Vision flow","the one supported value is validated case-insensitively and canonicalized lowercase; every other value rejects","complete","proxyUri.test.ts:vless-flow","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","query","encryption","","vless_encryption","byte-sensitive string","none|validated mlkem768x25519plus form","target no-encryption default","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","encryption","encryption; empty invalid","no equivalent for non-none","v2ray-core accepts only none","none normalizes to empty YAML; explicit empty/invalid reject; valid long value preserved","complete","proxyUri.test.ts:vless-encryption","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","query","security","","transport_security","case-sensitive enum","none|tls|reality|false|0","none","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","tls + reality-opts","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","explicit empty/unknown reject; Reality requires valid key and fp; junk false/0 map to none (mihomo converter treats any non-tls/reality value as no-TLS)","complete","proxyUri.test.ts:vless-security|vless-security-false","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db","decision changed 2026-07-18: false/0 accepted as none"
"VLESS","vless","query","sni","","tls_server_name","string","any","server","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","servername","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","maps under TLS/Reality; ignored under security=none since 2026-07-18 (mihomo reads TLS options only inside the tls/reality branch)","complete","proxyUri.test.ts:vless-core-security-and-port-boundaries|vless-tls-options-ignored","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","query","fp","","tls_client_fingerprint","string","non-empty for Reality","chrome","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","client-fingerprint","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","required for Reality; defaults for TLS; ignored under security=none since 2026-07-18 (mihomo reads TLS options only inside the tls/reality branch)","complete","proxyUri.test.ts:vless-core-security-and-port-boundaries|vless-tls-options-ignored","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","query","pcs","","certificate_fingerprint_or_pin","string","any","empty","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","fingerprint","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","copied but Xray pin equivalence remains unproven","partial","none","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","query","alpn","","tls_alpn","comma-list","any","target default","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","alpn[]","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","split and map under TLS; ignored under security=none since 2026-07-18 (mihomo reads TLS options only inside the tls/reality branch)","complete","proxyUri.test.ts:vless-core-security-and-port-boundaries|vless-tls-options-ignored","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","query","allowInsecure","insecure","certificate_verification_policy","boolean-string","1","false","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","skip-cert-verify","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","either spelling maps true under TLS; ignored under security=none since 2026-07-18 (mihomo reads TLS options only inside the tls/reality branch)","complete","proxyUri.test.ts:vless-core-security-and-port-boundaries|vless-tls-options-ignored","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","query","pbk","","reality_public_key","base64url X25519 key","canonical unpadded 32-byte key","none","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","reality-opts.public-key","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","strictly validated and required for Reality; ignored when security is not reality since 2026-07-18 (mihomo reads Reality options only inside the reality branch)","complete","proxyUri.test.ts:vless-core-security-and-port-boundaries|vless-reality-opts-ignored","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","query","sid","","reality_short_id","hex string","even hex length <=16","empty","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","reality-opts.short-id","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","strictly validated when present; ignored when security is not reality since 2026-07-18 (mihomo reads Reality options only inside the reality branch)","complete","proxyUri.test.ts:vless-core-security-and-port-boundaries|vless-reality-opts-ignored","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","query","spx","","reality_spider_path","string","any (dropped)","n/a","forbidden","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_target_gap","none","spiderX","unknown","unknown","accepted and dropped: spiderX only steers the client camouflage crawl after probe detection, never the handshake, and Mihomo cannot express it; 3x-ui emits a random spiderX on every Reality share link so rejecting failed most 3x-ui sources","complete","proxyUri.test.ts:vless-reality-spx-dropped","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db","decision changed 2026-07-18 from explicit_reject: dropping loses no connection semantics"
"VLESS","vless","query","quicSecurity","","legacy_quic_transport_option","string","any (ignored)","n/a","exact duplicates reject","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","archived_ecosystem_grammar","none","quicSecurity (QUIC stream transport)","unknown","unknown","accepted and ignored: Mihomo has no VLESS QUIC stream transport (type=quic already rejects as an unsupported transport) and NekoBox-style exporters emit quicSecurity on every link regardless of the selected transport","complete","proxyUri.test.ts:vless-quicsecurity-ignored","local:parseVLESS;E3:Mihomo@cbd11db","decision changed 2026-07-18 from explicit_reject: same treatment as Reality spx"
"VLESS","vless","query","packetEncoding","packet-encoding","udp_packet_encoding","case-sensitive enum","xudp|packet|packetaddr","xudp","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","ecosystem_extension_with_target_evidence","packet-encoding","URI field not established","packet_encoding with different empty semantics","v2ray packetaddr is not XUDP","packet maps to packetaddr; explicit none/empty/unknown reject; alias collision rejects","complete","proxyUri.test.ts:vless-packet-encoding","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","query","type","","transport","case-sensitive enum","tcp|http|h2|ws|httpupgrade|grpc|xhttp|raw","tcp","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","network + option object; httpupgrade becomes ws plus ws-opts.v2ray-http-upgrade","Xray transport","sing-box transport","v2ray-core transport","closed table; http remaps h2; httpupgrade maps to ws plus explicit upgrade and fast-open flags; unsupported values reject; raw (Xray >=24.9 rename) maps to tcp","complete","proxyUri.test.ts:vless-transport-matrix|vless-httpupgrade-full-delivery|vless-type-raw","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db","fixed Mihomo v1.19.28 outbound has no httpupgrade network switch and otherwise falls back to raw TCP; decision changed 2026-07-18: type=raw accepted as tcp"
"VLESS","vless","query","headerType","","transport_header_type","case-sensitive enum","none|http","none","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","network http for tcp+http","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","unsupported values reject; the value none is inert (states the default plain header) and never conflicts with the selected transport","complete","proxyUri.test.ts:vless-transport-matrix|vless-inert-transport-noise","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db","decision extended 2026-07-18: headerType=none tolerated on non-tcp transports as exporter noise"
"VLESS","vless","wildcard.transport-options","*","","transport_option_mismatch_policy","query key","path|host|method|serviceName|mode|extra|ed|eh outside the selected transport","n/a","n/a","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","closed_allowlist_policy","none","per-transport stream settings","unknown","Sub-Store@0882a522 differential only","every transport option outside the selected transport is ignored, never emitted: mihomo reads each option only inside the matching network case, so it configures nothing on the original client either","complete","proxyUri.test.ts:vless-inert-transport-noise","local:parseVLESS;E3:Mihomo@cbd11db","policy row; decision changed 2026-07-18 from any-presence reject: an empty value configures nothing; decision changed again 2026-07-18: non-empty mismatches now ignore too, per respect-original-content policy"
"VLESS","vless","query","path","","transport_path","string","any","/","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","transport-specific path","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","maps for supported transports","complete","proxyUri.test.ts:vless-transport-matrix","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","query","host","","transport_host","string|comma-list by transport","any","absent","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","transport-specific host/header","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","maps for supported transports","complete","proxyUri.test.ts:vless-transport-matrix","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","query","serviceName","","grpc_service_name","string","any","path or empty","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","grpc-opts.grpc-service-name","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","maps for gRPC","complete","proxyUri.test.ts:vless-transport-matrix","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","query","method","","http_method","string","any","target default","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","http-opts.method","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","maps for HTTP transport only","complete","proxyUri.test.ts:vless-transport-matrix","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","query","mode","","xhttp_mode","case-sensitive enum","auto|stream-one|stream-up|packet-up","target default","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","xhttp-opts.mode","Xray XHTTP mode","not portable","not portable","closed enum maps only for XHTTP; stream-one with downloadSettings explicitly rejects","complete","proxyUri.test.ts:vless-xhttp-extra","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","query","extra","","xhttp_extra_object","percent-encoded strict JSON object","closed nested vocabulary recorded below","absent","forbidden duplicate query or JSON key","WHATWG URL percent-decode once; strict JSON preserves nested scalar types","official_share_proposal_or_target_extension","xhttp-opts nested fields","Xray XHTTP extra","not portable","not portable","empty, malformed, duplicate-key, non-object, unknown, mistyped, or semantically orphaned fields reject before output","complete","proxyUri.test.ts:vless-xhttp-extra|closed-URI-grammars-XHTTP","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","query","ed","","early_data_size","integer-string","safe integer >=0","absent","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","ws-opts early-data field","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","strict when present","complete","proxyUri.test.ts:vless-transport-matrix","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","query","eh","","early_data_header","string","any","Sec-WebSocket-Protocol","forbidden; parser rejects exact duplicates","WHATWG URL percent-decode once; plus becomes space; query names and constants case-sensitive","official_share_proposal_or_target_extension","ws-opts.early-data-header-name","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","maps when present","complete","proxyUri.test.ts:vless-transport-matrix","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","nested.extra","noGRPCHeader","","xhttp_no_grpc_header","boolean","true|false","false","forbidden duplicate JSON key","extra is percent-decoded once then strict JSON; nested JSON types preserved","official_source_mapped_nested_extension","xhttp-opts.no-grpc-header","Xray XHTTP extra","not portable","not portable","strict boolean; true emits and false is an intentional default-equivalent omission","complete","proxyUri.test.ts:vless-xhttp-advanced-fields|closed-URI-grammars-XHTTP","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","nested.extra","xPaddingBytes","","xhttp_padding_bytes","unsigned integer|string range","non-negative safe integer or ascending unsigned range","absent","forbidden; parser rejects exact duplicates","extra is percent-decoded once then strict JSON; nested JSON types preserved","official_source_mapped_nested_extension","xhttp-opts.x-padding-bytes","Xray XHTTP extra","not portable","not portable","strictly validates and canonicalizes without truncation","complete","proxyUri.test.ts:vless-xhttp-extra|closed-URI-grammars-XHTTP","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","nested.extra","xPaddingObfsMode","","xhttp_padding_obfs","boolean","true|false","absent","forbidden duplicate JSON key","extra is percent-decoded once then strict JSON; nested JSON types preserved","official_source_mapped_nested_extension","xhttp-opts.x-padding-obfs-mode","Xray XHTTP extra","not portable","not portable","strict boolean; true materializes validated/defaulted padding detail fields and false forbids those detail fields","complete","proxyUri.test.ts:vless-xhttp-advanced-fields|closed-URI-grammars-XHTTP","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","nested.extra","xPaddingKey","","xhttp_padding_key","string","non-empty only with xPaddingObfsMode=true","x_padding when obfuscation is enabled","forbidden duplicate JSON key","extra is percent-decoded once then strict JSON; nested JSON types preserved","official_source_mapped_nested_extension","xhttp-opts.x-padding-key","Xray XHTTP extra","not portable","not portable","maps exactly; orphaned detail rejects and enabled obfuscation supplies the documented default","complete","proxyUri.test.ts:vless-xhttp-advanced-fields|closed-URI-grammars-XHTTP","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","nested.extra","xPaddingHeader","","xhttp_padding_header","string","non-empty only with xPaddingObfsMode=true","X-Padding when obfuscation is enabled","forbidden duplicate JSON key","extra is percent-decoded once then strict JSON; nested JSON types preserved","official_source_mapped_nested_extension","xhttp-opts.x-padding-header","Xray XHTTP extra","not portable","not portable","maps exactly; orphaned detail rejects and enabled obfuscation supplies the documented default","complete","proxyUri.test.ts:vless-xhttp-advanced-fields|closed-URI-grammars-XHTTP","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","nested.extra","xPaddingPlacement","","xhttp_padding_placement","case-sensitive enum","header|queryInHeader|cookie|query only with xPaddingObfsMode=true","queryInHeader when obfuscation is enabled","forbidden duplicate JSON key","extra is percent-decoded once then strict JSON; nested JSON types preserved","official_source_mapped_nested_extension","xhttp-opts.x-padding-placement","Xray XHTTP extra","not portable","not portable","closed enum; orphaned detail rejects and enabled obfuscation supplies the documented default","complete","proxyUri.test.ts:vless-xhttp-advanced-fields|closed-URI-grammars-XHTTP","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","nested.extra","xPaddingMethod","","xhttp_padding_method","case-sensitive enum","repeat-x|tokenish only with xPaddingObfsMode=true","repeat-x when obfuscation is enabled","forbidden duplicate JSON key","extra is percent-decoded once then strict JSON; nested JSON types preserved","official_source_mapped_nested_extension","xhttp-opts.x-padding-method","Xray XHTTP extra","not portable","not portable","closed enum; orphaned detail rejects and enabled obfuscation supplies the documented default","complete","proxyUri.test.ts:vless-xhttp-advanced-fields|closed-URI-grammars-XHTTP","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","nested.extra","headers","","xhttp_headers","object","non-empty plain object; valid HTTP-token names except Host; string values without CR/LF","absent","forbidden duplicate JSON key","extra is percent-decoded once then strict JSON; nested JSON types preserved","official_source_mapped_nested_extension","xhttp-opts.headers","Xray XHTTP extra","not portable","not portable","strict object and header grammar; Host and line-break injection reject before exact mapping","complete","proxyUri.test.ts:vless-xhttp-advanced-fields|closed-URI-grammars-XHTTP","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","nested.extra","uplinkHTTPMethod","uplinkHttpMethod","xhttp_uplink_method","HTTP token","GET only with mode=packet-up; other valid tokens","absent","alias collision and duplicate JSON keys reject","extra is percent-decoded once then strict JSON; nested JSON types preserved","official_source_mapped_nested_extension","xhttp-opts.uplink-http-method","Xray XHTTP extra","not portable","not portable","official and compatibility spellings map alone; simultaneous aliases reject; value uppercases and GET requires packet-up","complete","proxyUri.test.ts:vless-xhttp-advanced-fields|closed-URI-grammars-XHTTP","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
"VLESS","vless","nested.extra","sessionIDPlacement","sessionPlacement","xhttp_session_placement","string","path|query|header|cookie","absent","alias collision and duplicate JSON keys reject","extra is percent-decoded once then strict JSON; nested JSON types preserved","official_source_mapped_nested_extension","xhttp-opts.session-placement","Xray XHTTP extra","not portable","not portable","either spelling maps alone; simultaneous aliases reject; keyed placements enforce their key invariant","complete","proxyUri.test.ts:vless-xhttp-advanced-fields|closed-URI-grammars-XHTTP","local:parseVLESS;E2:Xray#716 retrieved 2026-07-15;E3:Mihomo@cbd11db",""
